Timestamp,What type of degree are you currently pursuing?,What faculty is your program in? (Pick the option that closest resembles your program if the actual faculty is not listed),What is your current age?,What is your current GPA percentage?,What is your status as a student?,Have you used ChatGPT yet?,Do you think the availability of ChatGPT will negatively impact newer generations?,Do you think ChatGPT can be used as a reliable source of information?,In which situations should students be allowed to use ChatGPT?,Would using ChatGPT be considered as plagiarism?,Do you think using ChatGPT will increase your academic performance (if the use of ChatGPT is allowed)?,,,,,,,Do you think ChatGPT has any ethical concerns or biases?,,,What is your ethic group?
3/9/2023 13:10:06,Bachelors,Faculty of Science,17-23,80% - 89%,Full-time,Yes - I have used ChatGPT,Disagree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:14:20,Bachelors,Faculty of Science,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Agree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Yes - The use of ChatGPT is considered as plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:14:30,Bachelors,Faculty of Science,17-23,80% - 89%,Full-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:14:43,Bachelors,Faculty of Science,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Strongly Agree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:15:05,Bachelors,Faculty of Science,17-23,90% - 100%,Part-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,No - ChatGPT will not increase my academic performance,,,,,,,,,,
3/9/2023 13:15:35,Bachelors,Faculty of Law,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Agree,No - it can't be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Yes - The use of ChatGPT is considered as plagiarism,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/9/2023 13:16:06,Bachelors,Faculty of Science,17-23,50% - 59%,Full-time,Yes - I have used ChatGPT,Agree,Yes - it can be used as a reliable source of information,Self Learning (learning material taught by the University),Yes - The use of ChatGPT is considered as plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:17:02,Bachelors,Faculty of Business Studies,17-23,90% - 100%,Full-time,Yes - I have used ChatGPT,Strongly Disagree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:17:02,Bachelors,Faculty of Business Studies,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Strongly Agree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Yes - The use of ChatGPT is considered as plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:17:48,Doctorate,Athletics,45+,90% - 100%,Full-time,Yes - I have used ChatGPT,Strongly Disagree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University, Students, in under any circumstance, should not be allowed to use ChatGPT in academia",No - The use of ChatGPT is not considered plagiarism,No - ChatGPT will not increase my academic performance,,,,,,,,,,
3/9/2023 13:18:13,Bachelors,Faculty of Engineering,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:18:35,Doctorate,Faculty of Arts,17-23,Under 50%,Full-time,No - I have not used ChatGPT,Strongly Disagree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University, Students, in under any circumstance, should not be allowed to use ChatGPT in academia",No - The use of ChatGPT is not considered plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:18:59,Bachelors,Faculty of Science,17-23,60% - 69%,Full-time,Yes - I have used ChatGPT,Strongly Agree,Yes - it can be used as a reliable source of information,"Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/9/2023 13:20:39,Bachelors,Faculty of Science,17-23,Under 50%,Full-time,Yes - I have used ChatGPT,Agree,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Yes - The use of ChatGPT is considered as plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:21:43,Bachelors,Faculty of Arts,17-23,60% - 69%,Full-time,No - I have not used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/9/2023 13:26:18,Bachelors,Faculty of Business Studies,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Neutral,Yes - it can be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:29:10,Bachelors,Faculty of Engineering,17-23,70% - 79%,Full-time,No - I have not used ChatGPT,Strongly Disagree,Yes - it can be used as a reliable source of information,Self Learning (learning material taught by the University),No - The use of ChatGPT is not considered plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:32:08,Bachelors,Faculty of Business Studies,17-23,70% - 79%,Full-time,No - I have not used ChatGPT,Neutral,No - it can't be used as a reliable source of information,"Students, in under any circumstance, should not be allowed to use ChatGPT in academia",Yes - The use of ChatGPT is considered as plagiarism,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:35:06,Bachelors,Faculty of Arts,17-23,70% - 79%,Full-time,No - I have not used ChatGPT,Disagree,No - it can't be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 13:55:21,Bachelors,Faculty of Business Studies,17-23,80% - 89%,Full-time,Yes - I have used ChatGPT,Agree,Yes - it can be used as a reliable source of information,"Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Yes - ChatGPT will increase my academic performance,,,,,,,,,,
3/9/2023 14:03:59,Bachelors,Faculty of Business Studies,17-23,80% - 89%,Full-time,No - I have not used ChatGPT,Neutral,No - it can't be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments), Completing Homework/Assignments assigned by the University",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/9/2023 14:06:04,Bachelors,Faculty of Science,17-23,80% - 89%,Full-time,Yes - I have used ChatGPT,Strongly Agree,No - it can't be used as a reliable source of information,Self Learning (learning material taught by the University),Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
3/9/2023 14:12:14,Bachelors,Faculty of Science,17-23,70% - 79%,Full-time,Yes - I have used ChatGPT,Strongly Disagree,No - it can't be used as a reliable source of information,"Self Learning (learning material taught by the University), Brainstorming Ideas for Various Tasks (Essays, Homework, Assignments)",Neutral - It depends on what the user used ChatGPT for,Neutral - ChatGPT will not affect my academic performance,,,,,,,,,,
